Name,InChIKey,MolWt,ExactMolWt,cLogP,TPSA,HBD,HBA,RotBonds,RingCount,FractionCSP3,HeavyAtomCount,FormalCharge,QED,Lipinski_OK,Veber_OK
CHEMBL3039507,QKDRXGFQVGOQKS-CRSSMBPESA-N,424.946,424.11112257999997,3.172600000000002,79.15,3,6,6,3,0.42857142857142855,28,0,0.6606272277437806,True,True
CHEMBL429910,JVHXJTBJCFBINQ-ADAARDCZSA-N,408.87800000000004,408.1339662,1.8443999999999996,99.38000000000001,4,6,6,3,0.42857142857142855,28,0,0.5818339767551266,True,True
CHEMBL2107830,OBWASQILIWPZMG-QZMOQZSNSA-N,450.91500000000013,450.14453088399995,1.6133999999999993,108.61000000000001,4,7,6,4,0.4782608695652174,31,0,0.5291572262506439,True,True
CHEMBL4594217,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,444.52400000000017,444.1406731200001,2.968320000000001,90.15,4,6,5,4,0.3333333333333333,31,0,0.48591581732684125,True,True
